# dir.des.scop.txt 
# SCOP release 1.69 (July 2005)  [File format version 1.00]
# http://scop.mrc-lmb.cam.ac.uk/scop/
# Copyright (c) 1994-2005 the scop authors; see http://scop.mrc-lmb.cam.ac.uk/scop/lic/copy.html
46456	cl	a	-	All alpha proteins
15311	px	a.1.1.2	d1gbvc_	1gbv C:
15318	px	a.1.1.2	d1axfa_	1axf A:
15319	px	a.1.1.2	d1axfc_	1axf C:
15320	px	a.1.1.2	d1hdba_	1hdb A:
15321	px	a.1.1.2	d1hdbc_	1hdb C:
97726	px	a.1.1.2	d1rq4a_	1rq4 A:
97728	px	a.1.1.2	d1rq4c_	1rq4 C:
15327	px	a.1.1.2	d1dsha_	1dsh A:
15328	px	a.1.1.2	d1dshc_	1dsh C:
15324	px	a.1.1.2	d2hbca_	2hbc A:
15322	px	a.1.1.2	d1a0ua_	1a0u A:
15323	px	a.1.1.2	d1a0uc_	1a0u C:
15329	px	a.1.1.2	d2hbea_	2hbe A:
15330	px	a.1.1.2	d1a0va_	1a0v A:
15331	px	a.1.1.2	d1a0vc_	1a0v C:
15325	px	a.1.1.2	d1a0xa_	1a0x A:
15326	px	a.1.1.2	d1a0xc_	1a0x C:
96834	px	a.1.1.2	d1r1xa_	1r1x A:
15335	px	a.1.1.2	d1hgaa_	1hga A:
15336	px	a.1.1.2	d1hgac_	1hga C:
15332	px	a.1.1.2	d1aj9a_	1aj9 A:
15337	px	a.1.1.2	d2hhea_	2hhe A:
15338	px	a.1.1.2	d2hhec_	2hhe C:
73945	px	a.1.1.2	d1ljwa_	1ljw A:
70825	px	a.1.1.2	d1gzxa_	1gzx A:
70827	px	a.1.1.2	d1gzxc_	1gzx C:
79246	px	a.1.1.2	d1mkoa_	1mko A:
79248	px	a.1.1.2	d1mkoc_	1mko C:
15343	px	a.1.1.2	d1hgca_	1hgc A:
15344	px	a.1.1.2	d1hgcc_	1hgc C:
15342	px	a.1.1.2	d2hbda_	2hbd A:
15341	px	a.1.1.2	d2hbfa_	2hbf A:
81046	px	a.1.1.2	d1o1ia_	1o1i A:
91237	px	a.1.1.2	d1m9pa_	1m9p A:
91239	px	a.1.1.2	d1m9pc_	1m9p C:
91845	px	a.1.1.2	d1neja_	1nej A:
91847	px	a.1.1.2	d1nejc_	1nej C:
96519	px	a.1.1.2	d1qxda_	1qxd A:
96521	px	a.1.1.2	d1qxdc_	1qxd C:
15345	px	a.1.1.2	d1bija_	1bij A:
15346	px	a.1.1.2	d1bijc_	1bij C:
15347	px	a.1.1.2	d1hhoa_	1hho A:
15306	px	a.1.1.2	d1a0wa_	1a0w A:
15307	px	a.1.1.2	d1a0wc_	1a0w C:
15348	px	a.1.1.2	d1rvwa_	1rvw A:
15349	px	a.1.1.2	d1abya1	1aby A:1-142
15350	px	a.1.1.2	d1abya2	1aby A:143-283
15361	px	a.1.1.2	d1b86a_	1b86 A:
15362	px	a.1.1.2	d1b86c_	1b86 C:
15316	px	a.1.1.2	d1hbaa_	1hba A:
15317	px	a.1.1.2	d1hbac_	1hba C:
77935	px	a.1.1.2	d1lfqa_	1lfq A:
15353	px	a.1.1.2	d1glia_	1gli A:
15354	px	a.1.1.2	d1glic_	1gli C:
77927	px	a.1.1.2	d1lfla_	1lfl A:
77929	px	a.1.1.2	d1lflc_	1lfl C:
77931	px	a.1.1.2	d1lflp_	1lfl P:
77933	px	a.1.1.2	d1lflr_	1lfl R:
77937	px	a.1.1.2	d1lfta_	1lft A:
15359	px	a.1.1.2	d1a9wa_	1a9w A:
15360	px	a.1.1.2	d1a9wc_	1a9w C:
15333	px	a.1.1.2	d1dkea_	1dke A:
15334	px	a.1.1.2	d1dkec_	1dke C:
15339	px	a.1.1.2	d1hgba_	1hgb A:
15340	px	a.1.1.2	d1hgbc_	1hgb C:
15357	px	a.1.1.2	d1niha_	1nih A:
15358	px	a.1.1.2	d1nihc_	1nih C:
77940	px	a.1.1.2	d1lfva_	1lfv A:
15351	px	a.1.1.2	d1haba_	1hab A:
15352	px	a.1.1.2	d1habc_	1hab C:
15364	px	a.1.1.2	d1coha_	1coh A:
15365	px	a.1.1.2	d1cohc_	1coh C:
15355	px	a.1.1.2	d1haca_	1hac A:
15356	px	a.1.1.2	d1hacc_	1hac C:
71944	px	a.1.1.2	d1jy7a_	1jy7 A:
71946	px	a.1.1.2	d1jy7c_	1jy7 C:
71948	px	a.1.1.2	d1jy7p_	1jy7 P:
71950	px	a.1.1.2	d1jy7r_	1jy7 R:
71952	px	a.1.1.2	d1jy7u_	1jy7 U:
71954	px	a.1.1.2	d1jy7w_	1jy7 W:
15366	px	a.1.1.2	d2hcoa_	2hco A:
77946	px	a.1.1.2	d1lfza_	1lfz A:
90494	px	a.1.1.2	d1fn3a_	1fn3 A:
90496	px	a.1.1.2	d1fn3c_	1fn3 C:
77944	px	a.1.1.2	d1lfya_	1lfy A:
15367	px	a.1.1.2	d1hcoa_	1hco A:
15363	px	a.1.1.2	d1fdha_	1fdh A:
15368	px	a.1.1.2	d1cmya_	1cmy A:
15369	px	a.1.1.2	d1cmyc_	1cmy C:
15370	px	a.1.1.2	d1hbsa_	1hbs A:
15371	px	a.1.1.2	d1hbsc_	1hbs C:
15372	px	a.1.1.2	d1hbse_	1hbs E:
15373	px	a.1.1.2	d1hbsg_	1hbs G:
68937	sp	a.1.1.2	-	Human (Homo sapiens), zeta isoform
66591	px	a.1.1.2	d1jeba_	1jeb A:
66593	px	a.1.1.2	d1jebc_	1jeb C:
46488	sp	a.1.1.2	-	Horse (Equus caballus)
76882	px	a.1.1.2	d1iwha_	1iwh A:
15374	px	a.1.1.2	d1ibea_	1ibe A:
15375	px	a.1.1.2	d1g0ba_	1g0b A:
15376	px	a.1.1.2	d2mhba_	2mhb A:
15377	px	a.1.1.2	d2dhba_	2dhb A:
46489	sp	a.1.1.2	-	Deer (Odocoileus virginianus)
15378	px	a.1.1.2	d1hdsa_	1hds A:
15379	px	a.1.1.2	d1hdsc_	1hds C:
46490	sp	a.1.1.2	-	Cow (Bos taurus)
15380	px	a.1.1.2	d1g08a_	1g08 A:
15381	px	a.1.1.2	d1g08c_	1g08 C:
15382	px	a.1.1.2	d1g0aa_	1g0a A:
15383	px	a.1.1.2	d1g0ac_	1g0a C:
15384	px	a.1.1.2	d1g09a_	1g09 A:
15385	px	a.1.1.2	d1g09c_	1g09 C:
15386	px	a.1.1.2	d1hdaa_	1hda A:
15387	px	a.1.1.2	d1hdac_	1hda C:
60012	px	a.1.1.2	d1fsxa_	1fsx A:
60014	px	a.1.1.2	d1fsxc_	1fsx C:
46491	sp	a.1.1.2	-	Pig (Sus scrofa)
15388	px	a.1.1.2	d2pgha_	2pgh A:
15389	px	a.1.1.2	d2pghc_	2pgh C:
15390	px	a.1.1.2	d1qpwa_	1qpw A:
15391	px	a.1.1.2	d1qpwc_	1qpw C:
63440	sp	a.1.1.2	-	Maned wolf (Chrysocyon brachyurus)
59837	px	a.1.1.2	d1fhja_	1fhj A:
59839	px	a.1.1.2	d1fhjc_	1fhj C:
46492	sp	a.1.1.2	-	Chicken (Gallus gallus)
15392	px	a.1.1.2	d1hbra_	1hbr A:
15393	px	a.1.1.2	d1hbrc_	1hbr C:
46493	sp	a.1.1.2	-	Bar-headed goose (Anser indicus)
15394	px	a.1.1.2	d1a4fa_	1a4f A:
15395	px	a.1.1.2	d1c40a_	1c40 A:
15396	px	a.1.1.2	d1hv4a_	1hv4 A:
15397	px	a.1.1.2	d1hv4c_	1hv4 C:
15398	px	a.1.1.2	d1hv4e_	1hv4 E:
15399	px	a.1.1.2	d1hv4g_	1hv4 G:
68938	sp	a.1.1.2	-	Graylag goose (Anser anser)
65002	px	a.1.1.2	d1fawa_	1faw A:
65004	px	a.1.1.2	d1fawc_	1faw C:
100976	sp	a.1.1.2	-	Aldabra giant tortoise (Geochelone gigantea)
109416	px	a.1.1.2	d1wmua_	1wmu A:
100444	px	a.1.1.2	d1v75a_	1v75 A:
46494	sp	a.1.1.2	-	Trout (Oncorhynchus mykiss)
15400	px	a.1.1.2	d1outa_	1out A:
15401	px	a.1.1.2	d1ouua_	1ouu A:
15402	px	a.1.1.2	d1ouuc_	1ouu C:
46495	sp	a.1.1.2	-	Emerald rockcod (Pagothenia bernacchii)
98585	px	a.1.1.2	d1s5xa_	1s5x A:
15403	px	a.1.1.2	d1pbxa_	1pbx A:
98587	px	a.1.1.2	d1s5ya_	1s5y A:
98589	px	a.1.1.2	d1s5yc_	1s5y C:
15404	px	a.1.1.2	d1hbha_	1hbh A:
15405	px	a.1.1.2	d1hbhc_	1hbh C:
46496	sp	a.1.1.2	-	Cartilaginous fish akaei (Dasyatis akajei)
15406	px	a.1.1.2	d1cg5a_	1cg5 A:
15407	px	a.1.1.2	d1cg8a_	1cg8 A:
46497	sp	a.1.1.2	-	Antarctic fish (Trematomus newnesi)
73782	px	a.1.1.2	d1la6a_	1la6 A:
15408	px	a.1.1.2	d1t1na_	1t1n A:
46498	sp	a.1.1.2	-	Teleost fish (Leiostomus xanthurus)
15409	px	a.1.1.2	d1spga_	1spg A:
46499	sp	a.1.1.2	-	Houndshark (Mustelus griseus)
15410	px	a.1.1.2	d1gcva_	1gcv A:
15411	px	a.1.1.2	d1gcvc_	1gcv C:
15412	px	a.1.1.2	d1gcwa_	1gcw A:
15413	px	a.1.1.2	d1gcwc_	1gcw C:
109623	sp	a.1.1.2	-	Bluefin tuna (Thunnus thynnus)
108363	px	a.1.1.2	d1v4xa_	1v4x A:
108365	px	a.1.1.2	d1v4xc_	1v4x C:
108359	px	a.1.1.2	d1v4wa_	1v4w A:
108361	px	a.1.1.2	d1v4wc_	1v4w C:
108355	px	a.1.1.2	d1v4ua_	1v4u A:
108357	px	a.1.1.2	d1v4uc_	1v4u C:
46500	dm	a.1.1.2	-	Hemoglobin, beta-chain
46501	sp	a.1.1.2	-	Human (Homo sapiens)
66287	px	a.1.1.2	d1irdb_	1ird B:
84105	px	a.1.1.2	d1j41b_	1j41 B:
84107	px	a.1.1.2	d1j41d_	1j41 D:
84109	px	a.1.1.2	d1j41f_	1j41 F:
84111	px	a.1.1.2	d1j41h_	1j41 H:
84097	px	a.1.1.2	d1j40b_	1j40 B:
84099	px	a.1.1.2	d1j40d_	1j40 D:
84101	px	a.1.1.2	d1j40f_	1j40 F:
84103	px	a.1.1.2	d1j40h_	1j40 H:
15414	px	a.1.1.2	d1babb_	1bab B:
15415	px	a.1.1.2	d1babd_	1bab D:
84081	px	a.1.1.2	d1j3yb_	1j3y B:
84083	px	a.1.1.2	d1j3yd_	1j3y D:
84085	px	a.1.1.2	d1j3yf_	1j3y F:
84087	px	a.1.1.2	d1j3yh_	1j3y H:
15416	px	a.1.1.2	d1bz0b_	1bz0 B:
15417	px	a.1.1.2	d1bz0d_	1bz0 D:
84089	px	a.1.1.2	d1j3zb_	1j3z B:
84091	px	a.1.1.2	d1j3zd_	1j3z D:
84093	px	a.1.1.2	d1j3zf_	1j3z F:
84095	px	a.1.1.2	d1j3zh_	1j3z H:
92096	px	a.1.1.2	d1ns9b_	1ns9 B:
66427	px	a.1.1.2	d1j7yb_	1j7y B:
66429	px	a.1.1.2	d1j7yd_	1j7y D:
15420	px	a.1.1.2	d1bz1b_	1bz1 B:
15421	px	a.1.1.2	d1bz1d_	1bz1 D:
15418	px	a.1.1.2	d1bzzb_	1bzz B:
15419	px	a.1.1.2	d1bzzd_	1bzz D:
15422	px	a.1.1.2	d1thbb_	1thb B:
15423	px	a.1.1.2	d1thbd_	1thb D:
92052	px	a.1.1.2	d1nqpb_	1nqp B:
92054	px	a.1.1.2	d1nqpd_	1nqp D:
15424	px	a.1.1.2	d2hhbb_	2hhb B:
15425	px	a.1.1.2	d2hhbd_	2hhb D:
15430	px	a.1.1.2	d1a3nb_	1a3n B:
15431	px	a.1.1.2	d1a3nd_	1a3n D:
15426	px	a.1.1.2	d1qshb_	1qsh B:
15427	px	a.1.1.2	d1qshd_	1qsh D:
15436	px	a.1.1.2	d1dxvb_	1dxv B:
15437	px	a.1.1.2	d1dxvd_	1dxv D:
15434	px	a.1.1.2	d1bbbb_	1bbb B:
15435	px	a.1.1.2	d1bbbd_	1bbb D:
15442	px	a.1.1.2	d1dxub_	1dxu B:
15443	px	a.1.1.2	d1dxud_	1dxu D:
15440	px	a.1.1.2	d1qsib_	1qsi B:
15441	px	a.1.1.2	d1qsid_	1qsi D:
15428	px	a.1.1.2	d4hhbb_	4hhb B:
15429	px	a.1.1.2	d4hhbd_	4hhb D:
15446	px	a.1.1.2	d1qi8b_	1qi8 B:
15447	px	a.1.1.2	d1qi8d_	1qi8 D:
15444	px	a.1.1.2	d1sdkb_	1sdk B:
15445	px	a.1.1.2	d1sdkd_	1sdk D:
81069	px	a.1.1.2	d1o1ob_	1o1o B:
81071	px	a.1.1.2	d1o1od_	1o1o D:
15450	px	a.1.1.2	d1dxtb_	1dxt B:
15451	px	a.1.1.2	d1dxtd_	1dxt D:
15438	px	a.1.1.2	d1c7cb_	1c7c B:
15439	px	a.1.1.2	d1c7cd_	1c7c D:
15432	px	a.1.1.2	d1sdlb_	1sdl B:
15433	px	a.1.1.2	d1sdld_	1sdl D:
81066	px	a.1.1.2	d1o1nb_	1o1n B:
81067	px	a.1.1.2	d1o1nd_	1o1n D:
81050	px	a.1.1.2	d1o1jb_	1o1j B:
81051	px	a.1.1.2	d1o1jd_	1o1j D:
15453	px	a.1.1.2	d1a3ob_	1a3o B:
15454	px	a.1.1.2	d1a3od_	1a3o D:
81074	px	a.1.1.2	d1o1pb_	1o1p B:
81075	px	a.1.1.2	d1o1pd_	1o1p D:
15448	px	a.1.1.2	d1a01b_	1a01 B:
15449	px	a.1.1.2	d1a01d_	1a01 D:
96524	px	a.1.1.2	d1qxeb_	1qxe B:
96526	px	a.1.1.2	d1qxed_	1qxe D:
96837	px	a.1.1.2	d1r1yb_	1r1y B:
96839	px	a.1.1.2	d1r1yd_	1r1y D:
15455	px	a.1.1.2	d1c7bb_	1c7b B:
15456	px	a.1.1.2	d1c7bd_	1c7b D:
15459	px	a.1.1.2	d1g9vb_	1g9v B:
15460	px	a.1.1.2	d1g9vd_	1g9v D:
67988	px	a.1.1.2	d1k0yb_	1k0y B:
67990	px	a.1.1.2	d1k0yd_	1k0y D:
15452	px	a.1.1.2	d3hhbb_	3hhb B:
97723	px	a.1.1.2	d1rq3b_	1rq3 B:
97725	px	a.1.1.2	d1rq3d_	1rq3 D:
15461	px	a.1.1.2	d1gbub_	1gbu B:
15462	px	a.1.1.2	d1gbud_	1gbu D:
15463	px	a.1.1.2	d1vwtb_	1vwt B:
15464	px	a.1.1.2	d1vwtd_	1vwt D:
15457	px	a.1.1.2	d1c7db_	1c7d B:
15458	px	a.1.1.2	d1c7dd_	1c7d D:
99439	px	a.1.1.2	d1uiwb_	1uiw B:
99441	px	a.1.1.2	d1uiwd_	1uiw D:
99443	px	a.1.1.2	d1uiwf_	1uiw F:
99445	px	a.1.1.2	d1uiwh_	1uiw H:
92094	px	a.1.1.2	d1ns6b_	1ns6 B:
15286	px	a.1.1.2	d1cbma_	1cbm A:
15465	px	a.1.1.2	d1cbmb_	1cbm B:
15287	px	a.1.1.2	d1cbmc_	1cbm C:
15466	px	a.1.1.2	d1cbmd_	1cbm D:
15467	px	a.1.1.2	d1abwb_	1abw B:
15468	px	a.1.1.2	d1abwd_	1abw D:
81062	px	a.1.1.2	d1o1mb_	1o1m B:
81063	px	a.1.1.2	d1o1md_	1o1m D:
81058	px	a.1.1.2	d1o1lb_	1o1l B:
81059	px	a.1.1.2	d1o1ld_	1o1l D:
15469	px	a.1.1.2	d1a00b_	1a00 B:
15470	px	a.1.1.2	d1a00d_	1a00 D:
15471	px	a.1.1.2	d1clsb_	1cls B:
15472	px	a.1.1.2	d1clsd_	1cls D:
15473	px	a.1.1.2	d1hbbb_	1hbb B:
15474	px	a.1.1.2	d1hbbd_	1hbb D:
15477	px	a.1.1.2	d2hbsb_	2hbs B:
15478	px	a.1.1.2	d2hbsd_	2hbs D:
15479	px	a.1.1.2	d2hbsf_	2hbs F:
15480	px	a.1.1.2	d2hbsh_	2hbs H:
15475	px	a.1.1.2	d1buwb_	1buw B:
15476	px	a.1.1.2	d1buwd_	1buw D:
15481	px	a.1.1.2	d1a0zb_	1a0z B:
15482	px	a.1.1.2	d1a0zd_	1a0z D:
66422	px	a.1.1.2	d1j7wb_	1j7w B:
66424	px	a.1.1.2	d1j7wd_	1j7w D:
84383	px	a.1.1.2	d1kd2b_	1kd2 B:
84385	px	a.1.1.2	d1kd2d_	1kd2 D:
15483	px	a.1.1.2	d6hbwb_	6hbw B:
15484	px	a.1.1.2	d6hbwd_	6hbw D:
81053	px	a.1.1.2	d1o1kb_	1o1k B:
81055	px	a.1.1.2	d1o1kd_	1o1k D:
77228	px	a.1.1.2	d1k1kb_	1k1k B:
15489	px	a.1.1.2	d2hhdb_	2hhd B:
15490	px	a.1.1.2	d2hhdd_	2hhd D:
15493	px	a.1.1.2	d1a0yb_	1a0y B:
15494	px	a.1.1.2	d1a0yd_	1a0y D:
15314	px	a.1.1.2	d1cbla_	1cbl A:
15491	px	a.1.1.2	d1cblb_	1cbl B:
15315	px	a.1.1.2	d1cblc_	1cbl C:
15492	px	a.1.1.2	d1cbld_	1cbl D:
66418	px	a.1.1.2	d1j7sb_	1j7s B:
66420	px	a.1.1.2	d1j7sd_	1j7s D:
97713	px	a.1.1.2	d1rpsb_	1rps B:
97715	px	a.1.1.2	d1rpsd_	1rps D:
15495	px	a.1.1.2	d1axfb_	1axf B:
15496	px	a.1.1.2	d1axfd_	1axf D:
15487	px	a.1.1.2	d1gbvb_	1gbv B:
15488	px	a.1.1.2	d1gbvd_	1gbv D:
15499	px	a.1.1.2	d1hdbb_	1hdb B:
15500	px	a.1.1.2	d1hdbd_	1hdb D:
97727	px	a.1.1.2	d1rq4b_	1rq4 B:
97729	px	a.1.1.2	d1rq4d_	1rq4 D:
15502	px	a.1.1.2	d1dshb_	1dsh B:
15503	px	a.1.1.2	d1dshd_	1dsh D:
15508	px	a.1.1.2	d1a0vb_	1a0v B:
15509	px	a.1.1.2	d1a0vd_	1a0v D:
15510	px	a.1.1.2	d2hbeb_	2hbe B:
15504	px	a.1.1.2	d1a0xb_	1a0x B:
15505	px	a.1.1.2	d1a0xd_	1a0x D:
15501	px	a.1.1.2	d2hbcb_	2hbc B:
15506	px	a.1.1.2	d1a0ub_	1a0u B:
15507	px	a.1.1.2	d1a0ud_	1a0u D:
96835	px	a.1.1.2	d1r1xb_	1r1x B:
73946	px	a.1.1.2	d1ljwb_	1ljw B:
15514	px	a.1.1.2	d1hgab_	1hga B:
15515	px	a.1.1.2	d1hgad_	1hga D:
15511	px	a.1.1.2	d1aj9b_	1aj9 B:
15516	px	a.1.1.2	d2hheb_	2hhe B:
15517	px	a.1.1.2	d2hhed_	2hhe D:
70826	px	a.1.1.2	d1gzxb_	1gzx B:
70828	px	a.1.1.2	d1gzxd_	1gzx D:
79247	px	a.1.1.2	d1mkob_	1mko B:
79249	px	a.1.1.2	d1mkod_	1mko D:
81047	px	a.1.1.2	d1o1ib_	1o1i B:
15520	px	a.1.1.2	d2hbdb_	2hbd B:
15522	px	a.1.1.2	d1hgcb_	1hgc B:
15523	px	a.1.1.2	d1hgcd_	1hgc D:
15521	px	a.1.1.2	d2hbfb_	2hbf B:
91238	px	a.1.1.2	d1m9pb_	1m9p B:
91240	px	a.1.1.2	d1m9pd_	1m9p D:
91846	px	a.1.1.2	d1nejb_	1nej B:
91848	px	a.1.1.2	d1nejd_	1nej D:
96520	px	a.1.1.2	d1qxdb_	1qxd B:
96522	px	a.1.1.2	d1qxdd_	1qxd D:
15524	px	a.1.1.2	d1bijb_	1bij B:
15525	px	a.1.1.2	d1bijd_	1bij D:
15526	px	a.1.1.2	d1hhob_	1hho B:
15485	px	a.1.1.2	d1a0wb_	1a0w B:
15486	px	a.1.1.2	d1a0wd_	1a0w D:
15527	px	a.1.1.2	d1abyb_	1aby B:
15528	px	a.1.1.2	d1abyd_	1aby D:
15529	px	a.1.1.2	d1rvwb_	1rvw B:
15538	px	a.1.1.2	d1b86b_	1b86 B:
15539	px	a.1.1.2	d1b86d_	1b86 D:
15497	px	a.1.1.2	d1hbab_	1hba B:
15498	px	a.1.1.2	d1hbad_	1hba D:
77938	px	a.1.1.2	d1lftb_	1lft B:
15534	px	a.1.1.2	d1glib_	1gli B:
15535	px	a.1.1.2	d1glid_	1gli D:
77928	px	a.1.1.2	d1lflb_	1lfl B:
77930	px	a.1.1.2	d1lfld_	1lfl D:
77932	px	a.1.1.2	d1lflq_	1lfl Q:
77934	px	a.1.1.2	d1lfls_	1lfl S:
77936	px	a.1.1.2	d1lfqb_	1lfq B:
15512	px	a.1.1.2	d1dkeb_	1dke B:
15513	px	a.1.1.2	d1dked_	1dke D:
15536	px	a.1.1.2	d1nihb_	1nih B:
15537	px	a.1.1.2	d1nihd_	1nih D:
15518	px	a.1.1.2	d1hgbb_	1hgb B:
15519	px	a.1.1.2	d1hgbd_	1hgb D:
77941	px	a.1.1.2	d1lfvb_	1lfv B:
15530	px	a.1.1.2	d1habb_	1hab B:
15531	px	a.1.1.2	d1habd_	1hab D:
71945	px	a.1.1.2	d1jy7b_	1jy7 B:
71947	px	a.1.1.2	d1jy7d_	1jy7 D:
71949	px	a.1.1.2	d1jy7q_	1jy7 Q:
71951	px	a.1.1.2	d1jy7s_	1jy7 S:
71953	px	a.1.1.2	d1jy7v_	1jy7 V:
71955	px	a.1.1.2	d1jy7x_	1jy7 X:
15540	px	a.1.1.2	d1cohb_	1coh B:
15541	px	a.1.1.2	d1cohd_	1coh D:
15532	px	a.1.1.2	d1hacb_	1hac B:
15533	px	a.1.1.2	d1hacd_	1hac D:
15542	px	a.1.1.2	d2hcob_	2hco B:
77947	px	a.1.1.2	d1lfzb_	1lfz B:
90495	px	a.1.1.2	d1fn3b_	1fn3 B:
90497	px	a.1.1.2	d1fn3d_	1fn3 D:
77945	px	a.1.1.2	d1lfyb_	1lfy B:
15543	px	a.1.1.2	d1hcob_	1hco B:
15544	px	a.1.1.2	d1cmyb_	1cmy B:
15545	px	a.1.1.2	d1cmyd_	1cmy D:
15546	px	a.1.1.2	d1hbsb_	1hbs B:
15547	px	a.1.1.2	d1hbsd_	1hbs D:
15548	px	a.1.1.2	d1hbsf_	1hbs F:
15549	px	a.1.1.2	d1hbsh_	1hbs H:
46502	sp	a.1.1.2	-	Human fetus (Homo sapiens), gamma-chain
61587	px	a.1.1.2	d1i3da_	1i3d A:
61588	px	a.1.1.2	d1i3db_	1i3d B:
61589	px	a.1.1.2	d1i3ea_	1i3e A:
61590	px	a.1.1.2	d1i3eb_	1i3e B:
15550	px	a.1.1.2	d1fdhg_	1fdh G:
46503	sp	a.1.1.2	-	Human (Homo sapiens), embryonic gower II
15551	px	a.1.1.2	d1a9we_	1a9w E:
15552	px	a.1.1.2	d1a9wf_	1a9w F:
46504	sp	a.1.1.2	-	Horse (Equus caballus)
76883	px	a.1.1.2	d1iwhb_	1iwh B:
15553	px	a.1.1.2	d1ibeb_	1ibe B:
15554	px	a.1.1.2	d1g0bb_	1g0b B:
15555	px	a.1.1.2	d2mhbb_	2mhb B:
15556	px	a.1.1.2	d2dhbb_	2dhb B:
46505	sp	a.1.1.2	-	Deer (Odocoileus virginianus)
15557	px	a.1.1.2	d1hdsb_	1hds B:
15558	px	a.1.1.2	d1hdsd_	1hds D:
46506	sp	a.1.1.2	-	Cow (Bos taurus)
15559	px	a.1.1.2	d1g08b_	1g08 B:
15560	px	a.1.1.2	d1g08d_	1g08 D:
15561	px	a.1.1.2	d1g0ab_	1g0a B:
15562	px	a.1.1.2	d1g0ad_	1g0a D:
15563	px	a.1.1.2	d1g09b_	1g09 B:
15564	px	a.1.1.2	d1g09d_	1g09 D:
15565	px	a.1.1.2	d1hdab_	1hda B:
15566	px	a.1.1.2	d1hdad_	1hda D:
60013	px	a.1.1.2	d1fsxb_	1fsx B:
60015	px	a.1.1.2	d1fsxd_	1fsx D:
46507	sp	a.1.1.2	-	Pig (Sus scrofa)
15567	px	a.1.1.2	d2pghb_	2pgh B:
15568	px	a.1.1.2	d2pghd_	2pgh D:
15569	px	a.1.1.2	d1qpwb_	1qpw B:
15570	px	a.1.1.2	d1qpwd_	1qpw D:
63441	sp	a.1.1.2	-	Maned wolf (Chrysocyon brachyurus)
59838	px	a.1.1.2	d1fhjb_	1fhj B:
59840	px	a.1.1.2	d1fhjd_	1fhj D:
68939	sp	a.1.1.2	-	Mouse (Mus musculus)
66592	px	a.1.1.2	d1jebb_	1jeb B:
66594	px	a.1.1.2	d1jebd_	1jeb D:
46508	sp	a.1.1.2	-	Chicken (Gallus gallus)
15571	px	a.1.1.2	d1hbrb_	1hbr B:
15572	px	a.1.1.2	d1hbrd_	1hbr D:
46509	sp	a.1.1.2	-	Bar-headed goose (Anser indicus)
15573	px	a.1.1.2	d1a4fb_	1a4f B:
15574	px	a.1.1.2	d1c40b_	1c40 B:
15575	px	a.1.1.2	d1hv4b_	1hv4 B:
15576	px	a.1.1.2	d1hv4d_	1hv4 D:
15577	px	a.1.1.2	d1hv4f_	1hv4 F:
15578	px	a.1.1.2	d1hv4h_	1hv4 H:
68940	sp	a.1.1.2	-	Graylag goose (Anser anser)
65003	px	a.1.1.2	d1fawb_	1faw B:
65005	px	a.1.1.2	d1fawd_	1faw D:
100977	sp	a.1.1.2	-	Aldabra giant tortoise (Geochelone gigantea)
109417	px	a.1.1.2	d1wmub_	1wmu B:
100445	px	a.1.1.2	d1v75b_	1v75 B:
46510	sp	a.1.1.2	-	Trout (Oncorhynchus mykiss)
15579	px	a.1.1.2	d1outb_	1out B:
15580	px	a.1.1.2	d1ouub_	1ouu B:
15581	px	a.1.1.2	d1ouud_	1ouu D:
46511	sp	a.1.1.2	-	Emerald rockcod (Pagothenia bernacchii)
98586	px	a.1.1.2	d1s5xb_	1s5x B:
15582	px	a.1.1.2	d1pbxb_	1pbx B:
98588	px	a.1.1.2	d1s5yb_	1s5y B:
98590	px	a.1.1.2	d1s5yd_	1s5y D:
15583	px	a.1.1.2	d1hbhb_	1hbh B:
15584	px	a.1.1.2	d1hbhd_	1hbh D:
46512	sp	a.1.1.2	-	Cartilaginous fish akaei (Dasyatis akajei)
15585	px	a.1.1.2	d1cg5b_	1cg5 B:
15586	px	a.1.1.2	d1cg8b_	1cg8 B:
46513	sp	a.1.1.2	-	Fish (Trematomus newnesi)
73783	px	a.1.1.2	d1la6b_	1la6 B:
15587	px	a.1.1.2	d1t1nb_	1t1n B:
46514	sp	a.1.1.2	-	Teleost fish (Leiostomus xanthurus)
15588	px	a.1.1.2	d1spgb_	1spg B:
46515	sp	a.1.1.2	-	Houndshark (Mustelus griseus)
15589	px	a.1.1.2	d1gcvb_	1gcv B:
15590	px	a.1.1.2	d1gcvd_	1gcv D:
15591	px	a.1.1.2	d1gcwb_	1gcw B:
15592	px	a.1.1.2	d1gcwd_	1gcw D:
109624	sp	a.1.1.2	-	Bluefin tuna (Thunnus thynnus)
108364	px	a.1.1.2	d1v4xb_	1v4x B:
108366	px	a.1.1.2	d1v4xd_	1v4x D:
108360	px	a.1.1.2	d1v4wb_	1v4w B:
108362	px	a.1.1.2	d1v4wd_	1v4w D:
108356	px	a.1.1.2	d1v4ub_	1v4u B:
108358	px	a.1.1.2	d1v4ud_	1v4u D:
46516	dm	a.1.1.2	-	Chimeric hemoglobin beta-alpha
46517	sp	a.1.1.2	-	Synthetic, based on Homo sapiens sequence
15593	px	a.1.1.2	d1ch4a_	1ch4 A:
15594	px	a.1.1.2	d1ch4b_	1ch4 B:
15595	px	a.1.1.2	d1ch4c_	1ch4 C:
